orfname,Gene Symbol,Description,log2_rep1,log2_rep2,log2_rep3,log2_rep4,log2_rep5,log2_rep6,# peptides,Avg log2 ratio,SD,p1,p2,# SILAC peptides,log2_SILAC ratio
YJL020C,BBC1,Protein possibly involved in assembly of actin patches; interacts with an actin assembly factor Las17p and with the SH3 domains of Type I myosins Myo3p and Myo5p; localized predominantly to cortical actin patches,-0.10,-0.12,0.00,-0.01,0.09,-0.06,29,-0.03,0.078,0.687,0.383,21,0.09
YOR117W,RPT5,One of six ATPases of the 19S regulatory particle of the 26S proteasome involved in the degradation of ubiquitinated substrates; recruited to the GAL1-10 promoter region upon induction of transcription,-0.07,-0.18,-0.37,0.00,0.11,0.30,36,-0.03,0.233,0.890,0.384,20,0.04
YPR089W,YPR089W,Protein of unknown function; exhibits genetic interaction with ERG11 and protein-protein interaction with Hsp82p,0.58,-0.33,-0.85,-0.31,0.36,0.34,3,-0.03,0.547,0.882,0.439,6,0.15
YBR245C,ISW1,"Member of the imitation-switch (ISWI) class of ATP-dependent chromatin remodeling complexes; ATPase that forms a complex with Ioc2p and Ioc4p to regulate transcription elongation, and a complex with Ioc3p to repress transcription initiation",-0.10,0.00,-0.01,-0.04,-0.03,-0.03,40,-0.04,0.036,0.392,0.381,42,-0.07
YPL232W,SSO1,Plasma membrane t-SNARE involved in fusion of secretory vesicles at the plasma membrane and in vesicle fusion during sporulation; forms a complex with Sec9p that binds v-SNARE Snc2p; syntaxin homolog; functionally redundant with Sso2p,-0.03,0.28,-0.36,0.03,-0.29,0.14,6,-0.04,0.247,0.858,0.407,,
YDL053C,PBP4,"Pbp1p binding protein, interacts strongly with Pab1p-binding protein 1 (Pbp1p) in the yeast two-hybrid system; also interacts with Lsm12p in a copurification assay",-0.13,0.01,0.12,-0.05,0.08,-0.24,21,-0.04,0.135,0.774,0.383,17,-0.06
YML094W,GIM5,Subunit of the heterohexameric cochaperone prefoldin complex which binds specifically to cytosolic chaperonin and transfers target proteins to it,-0.06,-0.04,0.24,-0.17,0.04,-0.23,15,-0.04,0.168,0.800,0.383,14,-0.03
YHR003C,YHR003C,"Protein of unknown function, localized to the mitochondrial outer membrane",-0.38,0.03,-0.30,0.31,0.56,-0.43,6,-0.04,0.405,0.948,0.413,6,-0.03
YHR042W,NCP1,NADP-cytochrome P450 reductase; involved in ergosterol biosynthesis; associated and coordinately regulated with Erg11p,-0.14,-0.07,0.11,0.02,0.02,-0.15,30,-0.04,0.102,0.574,0.380,25,-0.01
YCR072C,RSA4,"WD-repeat protein involved in ribosome biogenesis; may interact with ribosomes; required for maturation and efficient intra-nuclear transport or pre-60S ribosomal subunits, localizes to the nucleolus",-0.26,0.22,-0.10,0.04,-0.04,-0.07,6,-0.04,0.158,0.775,0.406,,
YER008C,SEC3,"Non-essential subunit of the exocyst complex (Sec3p, Sec5p, Sec6p, Sec8p, Sec10p, Sec15p, Exo70p, Exo84p) which mediates targeting of post-Golgi vesicles to sites of active exocytosis; Sec3p specifically is a spatial landmark for secretion",-0.31,-0.02,0.07,0.14,-0.08,-0.02,10,-0.04,0.156,0.852,0.417,12,0.01
YJR062C,NTA1,"Amidase, removes the amide group from N-terminal asparagine and glutamine residues to generate proteins with N-terminal aspartate and glutamate residues that are targets of ubiquitin-mediated degradation",0.12,0.09,0.12,0.11,-0.32,-0.34,11,-0.04,0.226,0.865,0.406,12,0.10
YHL039W,YHL039W,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm,-0.27,0.04,-0.07,0.13,-0.26,0.21,14,-0.04,0.198,0.810,0.383,16,-0.02
YPL235W,RVB2,Essential protein involved in transcription regulation; component of chromatin remodeling complexes; required for assembly and function of the INO80 complex; member of the RUVB-like protein family,-0.15,0.04,-0.13,-0.02,0.01,0.04,22,-0.04,0.083,0.775,0.383,18,-0.08
YNL287W,SEC21,"Gamma subunit of coatomer, a heptameric protein complex that together with Arf1p forms the COPI coat; involved in ER to Golgi transport of selective cargo",-0.05,-0.06,-0.02,-0.08,0.12,-0.13,29,-0.04,0.086,0.768,0.378,42,0.01
YPL048W,CAM1,Nuclear protein required for transcription of MXR1; binds the MXR1 promoter in the presence of other nuclear factors; binds calcium and phospholipids; has similarity to translational cofactor EF-1 gamma,0.12,-0.32,0.13,-0.15,0.23,-0.23,77,-0.04,0.224,0.828,0.383,25,0.01
YDR372C,VPS74,Protein required for Golgi localization of glycosyltransferases; binds the cytosolic domains of Golgi glycosyltransferases; functions as a heterotetramer,0.05,-0.32,-0.02,0.08,-0.08,0.07,15,-0.04,0.153,0.775,0.380,7,0.06
YNL087W,TCB2,Bud-specific protein with a potential role in membrane trafficking; GFP-fusion protein migrates from the cell surface to intracellular vesicles near vacuole; contains 3 calcium and lipid binding domains; mRNA is targeted to the bud,-0.06,0.13,0.10,-0.17,-0.08,-0.14,32,-0.04,0.127,0.681,0.377,34,0.03
YDL140C,RPO21,"RNA polymerase II largest subunit B220, part of central core; phosphorylation of C-terminal heptapeptide repeat domain regulates association with transcription and splicing factors; similar to bacterial beta-prime",-0.16,0.06,-0.10,-0.13,0.07,0.04,34,-0.04,0.104,0.647,0.376,7,-0.12
YGR030C,POP6,"Subunit of both RNase MRP, which cleaves pre-rRNA, and nuclear RNase P, which cleaves tRNA precursors to generate mature 5' ends",-0.01,-0.25,0.44,-0.37,-0.17,0.13,2,-0.04,0.293,0.894,0.409,,
YJL005W,CYR1,"Adenylate cyclase, required for cAMP production and cAMP-dependent protein kinase signaling; the cAMP pathway controls a variety of cellular processes, including metabolism, cell cycle, stress response, stationary phase, and sporulation",0.02,0.36,-0.43,-0.14,-0.07,0.03,6,-0.04,0.257,0.850,0.408,9,0.00
YNL166C,BNI5,"Protein involved in organization of septins at the mother-bud neck, may interact directly with the Cdc11p septin, localizes to bud neck in a septin-dependent manner",-0.09,-0.20,-0.06,0.17,0.08,-0.11,13,-0.04,0.137,0.743,0.378,13,-0.12
YEL056W,HAT2,"Subunit of the Hat1p-Hat2p histone acetyltransferase complex; required for high affinity binding of the complex to free histone H4, thereby enhancing Hat1p activity; similar to human RbAp46 and 48; has a role in telomeric silencing",-0.34,0.31,-0.23,0.09,-0.24,0.18,4,-0.04,0.268,0.941,0.412,9,-0.04
YOL139C,CDC33,Cytoplasmic mRNA cap binding protein; the eIF4E-cap complex is responsible for mediating cap-dependent mRNA translation via interactions with the translation initiation factor eIF4G (Tif4631p or Tif4632p),-0.11,0.41,-0.25,0.17,-0.57,0.13,18,-0.04,0.350,0.882,0.377,6,-0.05
YER152C,YER152C,Putative protein of unknown function; shares amino acid similarity with the aminotransferases Aro8p and Aro9p; YER152C is not an essential gene,0.08,0.06,-0.06,-0.68,-0.06,0.44,2,-0.04,0.366,0.874,0.433,5,0.15
YGR128C,UTP8,Nucleolar protein required for export of tRNAs from the nucleus; also copurifies with the small subunit (SSU) processome containing the U3 snoRNA that is involved in processing of pre-18S rRNA,-0.34,0.24,0.11,-0.20,0.14,-0.17,22,-0.04,0.229,0.850,0.374,22,-0.09
YDR321W,ASP1,"Cytosolic L-asparaginase, involved in asparagine catabolism",-0.29,-0.16,-0.20,0.04,0.04,0.33,21,-0.04,0.225,0.821,0.374,25,-0.03
YBR054W,YRO2,"Putative protein of unknown function; the authentic, non-tagged protein is detected in a phosphorylated state in highly purified mitochondria in high-throughput studies; transcriptionally regulated by Haa1p",0.51,0.70,0.57,-0.70,-1.32,0.01,2,-0.04,0.812,0.923,0.433,,
YDR164C,SEC1,Sm-like protein involved in docking and fusion of exocytic vesicles through binding to assembled SNARE complexes at the membrane; localization to sites of secretion (bud neck and bud tip) is dependent on SNARE function,-0.13,-0.16,0.15,0.13,-0.32,0.09,7,-0.04,0.190,0.802,0.398,5,0.08
YMR296C,LCB1,"Component of serine palmitoyltransferase, responsible along with Lcb2p for the first committed step in sphingolipid synthesis, which is the condensation of serine with palmitoyl-CoA to form 3-ketosphinganine",-0.06,0.11,0.05,-0.13,-0.14,-0.06,29,-0.04,0.102,0.785,0.369,25,0.02
YJR088C,EMC2,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the endoplasmic reticulum,0.05,-0.73,0.07,0.20,0.10,0.08,12,-0.04,0.340,0.926,0.398,15,0.00
YNL258C,DSL1,"Peripheral membrane protein required for Golgi-to-ER retrograde traffic; component of the ER target site that interacts with coatomer, the major component of the COPI vesicle protein coat; also interacts with Cin5p and Sec39p",-0.10,0.08,0.10,-0.02,-0.23,-0.06,14,-0.04,0.122,0.683,0.371,14,-0.04
YMR004W,MVP1,Protein required for sorting proteins to the vacuole; overproduction of Mvp1p suppresses several dominant VPS1 mutations; Mvp1p and Vps1p act in concert to promote membrane traffic to the vacuole,-0.05,0.21,0.09,0.25,-0.61,-0.12,7,-0.04,0.315,0.866,0.404,,
YKR090W,PXL1,"LIM domain-containing protein that localizes to sites of polarized growth, required for selection and/or maintenance of polarized growth sites, may modulate signaling by the GTPases Cdc42p and Rho1p; has similarity to metazoan paxillin",-0.05,-0.23,0.17,0.09,0.17,-0.39,2,-0.04,0.230,0.898,0.431,,
YOR046C,DBP5,Cytoplasmic ATP-dependent RNA helicase of the DEAD-box family involved in mRNA export from the nucleus; involved in translation termination,-0.05,-0.21,0.04,-0.19,0.16,0.02,46,-0.04,0.144,0.689,0.373,37,-0.04
YDL063C,YDL063C,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus; YDL063C is not an essential gene,-0.07,0.23,0.02,-0.02,-0.17,-0.23,5,-0.04,0.160,0.825,0.395,3,0.03
YNL054W,VAC7,Integral vacuolar membrane protein involved in vacuole inheritance and morphology; activates Fab1p kinase activity under basal conditions and also after hyperosmotic shock,0.04,-0.01,-0.46,0.22,0.46,-0.50,2,-0.04,0.379,0.954,0.430,4,0.10
YJR064W,CCT5,"Subunit of the cytosolic chaperonin Cct ring complex, related to Tcp1p, required for the assembly of actin and tubulins in vivo",-0.07,0.04,-0.04,0.04,-0.09,-0.12,69,-0.04,0.069,0.329,0.372,38,-0.09
YPR063C,YPR063C,ER-localized protein of unknown function,-0.22,0.63,-0.01,-0.17,-0.14,-0.33,5,-0.04,0.346,0.926,0.407,7,0.11
YCL061C,MRC1,"S-phase checkpoint protein found at replication forks, required for DNA replication; also required for Rad53p activation during DNA replication stress, where it forms a replication-pausing complex with Tof1p and is phosphorylated by Mec1p",0.03,-0.24,0.03,-0.17,0.17,-0.07,3,-0.04,0.151,0.913,0.430,3,-0.16
YKL059C,MPE1,"Essential conserved subunit of CPF (cleavage and polyadenylation factor), plays a role in 3' end formation of mRNA via the specific cleavage and polyadenylation of pre-mRNA, contains a putative RNA-binding zinc knuckle motif",0.10,-0.28,0.00,0.13,0.04,-0.22,5,-0.04,0.171,0.874,0.406,3,0.04
YMR277W,FCP1,"Carboxy-terminal domain (CTD) phosphatase, essential for dephosphorylation of the repeated C-terminal domain of the RNA polymerase II large subunit (Rpo21p)",-0.12,0.26,0.17,0.09,-0.10,-0.54,4,-0.04,0.288,0.889,0.401,,
YDR093W,DNF2,"Aminophospholipid translocase (flippase) that localizes primarily to the plasma membrane; contributes to endocytosis, protein transport and cell polarity; type 4 P-type ATPase",-0.16,-0.21,-0.01,0.07,0.24,-0.17,6,-0.04,0.175,0.742,0.367,7,-0.13
YNL061W,NOP2,"Probable RNA m(5)C methyltransferase, essential for processing and maturation of 27S pre-rRNA and large ribosomal subunit biogenesis; localized to the nucleolus; constituent of 66S pre-ribosomal particles",-0.02,0.00,-0.21,0.14,-0.26,0.11,46,-0.04,0.164,0.707,0.363,23,-0.07
YDR510W,SMT3,"Ubiquitin-like protein of the SUMO family, conjugated to lysine residues of target proteins; regulates chromatid cohesion, chromosome segregation, APC-mediated proteolysis, DNA replication and septin ring dynamics",-0.15,0.15,-0.14,0.03,-0.29,0.14,12,-0.04,0.178,0.750,0.366,6,0.04
YMR044W,IOC4,"Member of a complex (Isw1b) with Isw1p and Ioc2p that exhibits nucleosome-stimulated ATPase activity and acts within coding regions to coordinate transcription elongation with termination and processing, contains a PWWP motif",-0.08,-0.40,0.11,0.19,0.12,-0.18,5,-0.04,0.224,0.882,0.393,3,0.03
YNL064C,YDJ1,Protein chaperone involved in regulation of the HSP90 and HSP70 functions; involved in protein translocation across membranes; member of the DnaJ family,-0.08,-0.15,-0.13,0.01,0.06,0.05,69,-0.04,0.091,0.715,0.369,19,-0.10
YDR208W,MSS4,"Phosphatidylinositol-4-phosphate 5-kinase, involved in actin cytoskeleton organization and cell morphogenesis; multicopy suppressor of stt4 mutation",0.36,-0.66,0.20,-0.07,0.26,-0.34,5,-0.04,0.397,0.921,0.400,,
YGL173C,KEM1,"Evolutionarily-conserved 5'-3' exonuclease component of cytoplasmic processing (P) bodies involved in mRNA decay; plays a role in microtubule-mediated processes, filamentous growth, ribosomal RNA maturation, and telomere maintenance",-0.09,0.00,0.00,-0.02,-0.04,-0.10,71,-0.04,0.046,0.443,0.369,50,-0.02
YKL204W,EAP1,"eIF4E-associated protein, binds eIF4E and inhibits cap-dependent translation, also functions independently of eIF4E to maintain genetic stability; plays a role in cell growth, implicated in the TOR signaling cascade",-0.21,0.17,-0.23,0.30,0.12,-0.38,14,-0.04,0.270,0.825,0.392,24,0.06
YDL156W,YDL156W,Putative protein of unknown function; protein sequence contains three WD domains (WD-40 repeat); green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus,0.01,-0.50,-0.28,0.29,0.06,0.19,7,-0.04,0.297,0.889,0.405,4,-0.06
YDR398W,UTP5,"Nucleolar protein, component of the small subunit (SSU) processome containing the U3 snoRNA that is involved in processing of pre-18S rRNA",-0.16,0.37,0.10,0.17,-0.36,-0.36,6,-0.04,0.300,0.868,0.399,2,-0.10
YPR125W,YLH47,"Mitochondrial inner membrane protein exposed to the mitochondrial matrix, associates with mitochondrial ribosomes, NOT required for respiratory growth; homolog of human Letm1, a protein implicated in Wolf-Hirschhorn syndrome",-0.21,-0.36,0.49,0.14,-0.23,-0.08,6,-0.04,0.311,0.927,0.405,6,-0.04
YOR234C,RPL33B,"Ribosomal protein L37 of the large (60S) ribosomal subunit, nearly identical to Rpl33Ap and has similarity to rat L35a; rpl33b null mutant exhibits normal growth while rpl33a rpl33b double null mutant is inviable",-0.25,-0.07,0.18,0.08,0.22,-0.41,12,-0.04,0.249,0.872,0.399,12,-0.09
YML110C,COQ5,"2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase, involved in ubiquinone (Coenzyme Q) biosynthesis; localizes to the matrix face of the mitochondrial inner membrane in a large complex with other ubiquinone biosynthetic enzymes",-0.24,-0.18,0.11,0.20,-0.05,-0.09,15,-0.04,0.168,0.821,0.391,10,0.00
YDL112W,TRM3,"2'-O-ribose methyltransferase, catalyzes the ribose methylation of the guanosine nucleotide at position 18 of tRNAs",-0.12,-0.07,-0.09,-0.04,0.15,-0.07,19,-0.04,0.096,0.622,0.366,17,-0.11
YDR527W,RBA50,"Protein involved in transcription; interacts with RNA polymerase II subunits Rpb2p, Rpb3, and Rpb11p; has similarity to human RPAP1",-0.05,-0.50,0.09,0.02,0.34,-0.15,6,-0.04,0.278,0.860,0.363,1,0.04
YDR228C,PCF11,"mRNA 3' end processing factor, essential component of cleavage and polyadenylation factor IA (CF IA), involved in pre-mRNA 3' end processing and in transcription termination; binds C-terminal domain of largest subunit of RNA pol II (Rpo21p)",-0.12,0.02,0.21,-0.19,-0.22,0.05,7,-0.04,0.164,0.808,0.402,6,-0.15
YOL006C,TOP1,"Topoisomerase I, nuclear enzyme that relieves torsional strain in DNA by cleaving and re-sealing the phosphodiester backbone; relaxes both positively and negatively supercoiled DNA; functions in replication, transcription, and recombination",-0.03,-0.08,0.08,-0.18,0.16,-0.22,22,-0.04,0.148,0.672,0.362,13,-0.09
YOR340C,RPA43,RNA polymerase I subunit A43,-0.23,0.03,0.03,0.01,0.04,-0.13,9,-0.04,0.112,0.737,0.359,11,-0.14
YLR106C,MDN1,"Huge dynein-related AAA-type ATPase (midasin), forms extended pre-60S particle with the Rix1 complex (Rix1p-Ipi1p-Ipi3p), may mediate ATP-dependent remodeling of 60S subunits and subsequent export from nucleoplasm to cytoplasm",-0.11,-0.06,-0.03,-0.18,0.03,0.10,60,-0.04,0.098,0.557,0.363,76,-0.04
YDR234W,LYS4,"Homoaconitase, catalyzes the conversion of homocitrate to homoisocitrate, which is a step in the lysine biosynthesis pathway",-0.10,-0.05,-0.04,-0.06,0.03,-0.04,76,-0.04,0.043,0.334,0.362,61,-0.12
YER156C,YER156C,Putative protein of unknown function; identified as interacting with Hsp82p in a high-throughput two-hybrid screen; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus,-0.21,0.25,-0.31,0.14,-0.01,-0.12,25,-0.04,0.212,0.785,0.360,20,-0.03
YMR099C,YMR099C,"Glucose-6-phosphate 1-epimerase (hexose-6-phosphate mutarotase), likely involved in carbohydrate metabolism; GFP-fusion protein localizes to both the nucleus and cytoplasm and is induced in response to the DNA-damaging agent MMS",0.04,-0.36,0.05,-0.09,0.01,0.09,42,-0.04,0.164,0.775,0.355,18,0.04
YMR229C,RRP5,RNA binding protein with preference for single stranded tracts of U's involved in synthesis of both 18S and 5.8S rRNAs; component of both the ribosomal small subunit (SSU) processosome and the 90S preribosome,-0.06,0.04,0.08,-0.08,-0.13,-0.12,85,-0.04,0.085,0.379,0.361,61,-0.08
YMR153W,NUP53,"Subunit of the nuclear pore complex (NPC), interacts with karyopherin Kap121p or with Nup170p via overlapping regions of Nup53p, involved in activation of the spindle checkpoint mediated by the Mad1p-Mad2p complex",-0.02,-0.34,0.09,0.16,0.07,-0.22,13,-0.04,0.194,0.855,0.385,6,0.06
YOR063W,RPL3,"Protein component of the large (60S) ribosomal subunit, has similarity to E. coli L3 and rat L3 ribosomal proteins; involved in the replication and maintenance of killer double stranded RNA virus",-0.11,0.00,-0.04,-0.06,0.12,-0.18,90,-0.04,0.103,0.557,0.360,30,-0.10
YGL008C,PMA1,"Plasma membrane H+-ATPase, pumps protons out of the cell; major regulator of cytoplasmic pH and plasma membrane potential; part of the P2 subgroup of cation-transporting ATPases",-0.23,0.00,0.21,0.18,-0.34,-0.07,12,-0.04,0.218,0.777,0.384,7,0.03
YGR251W,YGR251W,Putative protein of unknown function; deletion mutant has defects in pre-rRNA processing; green fluorescent protein (GFP)-fusion protein localizes to both the nucleus and the nucleolus; YGR251W is an essential gene,0.05,0.11,-0.11,0.06,-0.08,-0.30,5,-0.04,0.151,0.737,0.397,2,-0.04
YGR094W,VAS1,Mitochondrial and cytoplasmic valyl-tRNA synthetase,-0.07,0.07,-0.02,-0.07,-0.04,-0.13,124,-0.04,0.069,0.449,0.359,76,-0.03
YJR068W,RFC2,"Subunit of heteropentameric Replication factor C (RF-C), which is a DNA binding protein and ATPase that acts as a clamp loader of the proliferating cell nuclear antigen (PCNA) processivity factor for DNA polymerases delta and epsilon",-0.02,0.08,-0.03,0.07,-0.15,-0.21,9,-0.04,0.117,0.623,0.355,13,-0.01
YLR364W,GRX8,Putative cytosolic dithiol glutaredoxin; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; non-essential gene that is strongly induced by arsenic,-0.43,0.62,-0.44,-0.04,-0.36,0.38,3,-0.04,0.451,0.898,0.422,2,0.00
YMR039C,SUB1,"Transcriptional coactivator, facilitates elongation by influencing enzymes that modify RNAP II, acts in a peroxide resistance pathway involving Rad2p; suppressor of TFIIB mutations",0.03,0.49,-0.39,-0.03,-0.19,-0.18,10,-0.04,0.300,0.915,0.383,7,0.06
YER034W,YER034W,Putative protein of unknown function; non-essential gene; expression induced upon calcium shortage,-0.22,-0.16,-0.13,0.13,-0.08,0.19,8,-0.04,0.166,0.676,0.396,2,-0.12
YNL010W,YNL010W,Putative protein of unknown function with similarity to phosphoserine phosphatases; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus; homozygous diploid mutant shows an increase in glycogen accumulation,-0.03,-0.07,-0.27,0.00,-0.02,0.13,60,-0.05,0.132,0.654,0.356,14,-0.02
YPL009C,YPL009C,"Protein of unknown function; may interact with ribosomes, based on co-purification experiments; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YPL009C is not an essential gene",-0.11,0.10,0.04,-0.13,0.06,-0.23,12,-0.05,0.131,0.623,0.354,6,-0.09
YFL017C,GNA1,"Evolutionarily conserved glucosamine-6-phosphate acetyltransferase required for multiple cell cycle events including passage through START, DNA synthesis, and mitosis; involved in UDP-N-acetylglucosamine synthesis, forms GlcNAc6P from AcCoA",-0.02,-0.16,0.08,0.05,-0.09,-0.13,15,-0.05,0.095,0.681,0.395,12,-0.02
YDR083W,RRP8,"Nucleolar protein involved in rRNA processing, pre-rRNA cleavage at site A2; also involved in telomere maintenance; mutation is synthetically lethal with a gar1 mutation",0.03,-0.02,0.11,-0.20,-0.12,-0.08,5,-0.05,0.108,0.790,0.395,5,-0.11
YGL212W,VAM7,Component of the vacuole SNARE complex involved in vacuolar morphogenesis; SNAP-25 homolog; functions with a syntaxin homolog Vam3p in vacuolar protein trafficking,-0.12,0.26,-0.35,-0.05,0.05,-0.06,3,-0.05,0.203,0.746,0.420,5,0.13
YGR130C,YGR130C,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; specifically phosphorylated in vitro by mammalian diphosphoinositol pentakisphosphate (IP7),-0.08,-0.35,0.04,0.03,0.27,-0.19,44,-0.05,0.211,0.775,0.353,33,0.03
YDR434W,GPI17,Transmembrane protein subunit of the glycosylphosphatidylinositol transamidase complex that adds GPIs to newly synthesized proteins; human PIG-Sp homolog,0.29,0.24,-0.09,-0.35,-0.17,-0.19,2,-0.05,0.254,0.872,0.420,5,0.04
YDL052C,SLC1,"1-acyl-sn-gylcerol-3-phosphate acyltransferase, catalyzes the acylation of lysophosphatidic acid to form phosphatidic acid, a key intermediate in lipid metabolism; enzymatic activity detected in lipid particles and microsomes",0.11,-0.18,-0.09,-0.04,-0.16,0.09,8,-0.05,0.121,0.683,0.393,9,-0.02
YGR240C,PFK1,"Alpha subunit of heterooctameric phosphofructokinase involved in glycolysis, indispensable for anaerobic growth, activated by fructose-2,6-bisphosphate and AMP, mutation inhibits glucose induction of cell cycle-related genes",-0.13,-0.04,-0.09,0.01,-0.05,0.02,106,-0.05,0.059,0.377,0.353,38,0.00
YDL031W,DBP10,"Putative ATP-dependent RNA helicase of the DEAD-box protein family, constituent of 66S pre-ribosomal particles; essential protein involved in ribosome biogenesis",-0.16,0.12,-0.06,-0.03,-0.08,-0.07,20,-0.05,0.095,0.633,0.351,25,-0.11
YGR202C,PCT1,"Cholinephosphate cytidylyltransferase, also known as CTP:phosphocholine cytidylyltransferase, rate-determining enzyme of the CDP-choline pathway for phosphatidylcholine synthesis, inhibited by Sec14p, activated upon lipid-binding",-0.12,-0.05,-0.11,0.07,-0.06,0.00,12,-0.05,0.071,0.384,0.351,4,0.02
YOR069W,VPS5,Nexin-1 homolog required for localizing membrane proteins from a prevacuolar/late endosomal compartment back to the late Golgi apparatus; structural component of the retromer membrane coat complex; forms a retromer subcomplex with Vps17p,-0.17,-0.14,0.05,0.08,-0.07,-0.03,19,-0.05,0.099,0.523,0.346,12,0.03
YDR091C,RLI1,Essential iron-sulfur protein required for ribosome biogenesis and translation initiation; facilitates binding of a multifactor complex (MFC) of translation initiation factors to the small ribosomal subunit; predicted ABC family ATPase,-0.17,0.09,-0.14,-0.04,-0.06,0.05,32,-0.05,0.103,0.742,0.345,15,-0.12
YAL002W,VPS8,Membrane-associated protein that interacts with Vps21p to facilitate soluble vacuolar protein localization; component of the CORVET complex; required for localization and trafficking of the CPY sorting receptor; contains RING finger motif,-0.56,0.26,0.04,-0.16,0.44,-0.29,3,-0.05,0.368,0.841,0.419,3,0.06
YPR148C,YPR148C,"Protein of unknown function that may interact with ribosomes, based on co-purification experiments; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern",0.06,0.07,-0.11,0.01,-0.25,-0.05,39,-0.05,0.122,0.799,0.350,29,0.04
YMR145C,NDE1,"Mitochondrial external NADH dehydrogenase, a type II NAD(P)H:quinone oxidoreductase that catalyzes the oxidation of cytosolic NADH; Nde1p and Nde2p provide cytosolic NADH to the mitochondrial respiratory chain",0.01,-0.02,-0.12,0.02,-0.17,-0.01,78,-0.05,0.078,0.469,0.351,39,-0.09
YIL014W,MNT3,"Alpha-1,3-mannosyltransferase, adds the fourth and fifth alpha-1,3-linked mannose residues to O-linked glycans during protein O-glycosylation",0.20,0.41,-0.52,-0.07,-0.26,-0.03,3,-0.05,0.329,0.890,0.391,3,0.00
YIL104C,SHQ1,"Essential nuclear protein, required for accumulation of box H/ACA snoRNAs and for rRNA processing; interacts with Naf1p",-0.22,-0.09,0.13,0.06,0.11,-0.27,8,-0.05,0.172,0.683,0.377,12,0.03
YEL036C,ANP1,"Subunit of the alpha-1,6 mannosyltransferase complex; type II membrane protein; has a role in retention of glycosyltransferases in the Golgi; involved in osmotic sensitivity and resistance to aminonitrophenyl propanediol",-0.04,-0.08,-0.15,0.05,-0.17,0.11,5,-0.05,0.107,0.673,0.391,4,0.10
YOR109W,INP53,"Polyphosphatidylinositol phosphatase, dephosphorylates multiple phosphatidylinositols; involved in trans Golgi network-to-early endosome pathway; hyperosmotic stress causes translocation to actin patches; contains Sac1 and 5-ptase domains",-0.13,-0.29,0.07,0.09,0.01,-0.04,14,-0.05,0.141,0.698,0.346,16,-0.03
YER098W,UBP9,"Ubiquitin carboxyl-terminal hydrolase, ubiquitin-specific protease that cleaves ubiquitin-protein fusions",0.12,0.25,-0.53,0.23,-0.78,0.42,2,-0.05,0.485,0.867,0.385,,
YER134C,YER134C,Putative protein of unknown function; non-essential gene,0.12,-0.17,-0.10,0.09,-0.33,0.11,12,-0.05,0.185,0.790,0.376,9,0.01
YKL065C,YET1,"Endoplasmic reticulum transmembrane protein; may interact with ribosomes, based on co-purification experiments; homolog of human BAP31 protein",0.10,-0.61,0.24,-0.09,0.13,-0.06,24,-0.05,0.300,0.894,0.342,14,0.09
YNL132W,KRE33,Essential protein of unknown function; heterozygous mutant shows haploinsufficiency in K1 killer toxin resistance,-0.19,0.05,-0.02,0.06,-0.15,-0.04,30,-0.05,0.100,0.484,0.342,20,-0.03
YBR272C,HSM3,"Protein of unknown function, involved in DNA mismatch repair during slow growth; has weak similarity to Msh1p",0.33,0.32,0.07,0.25,-1.19,-0.08,6,-0.05,0.580,0.870,0.384,1,0.57
YHR020W,YHR020W,"Protein of unknown function that may interact with ribosomes, based on co-purification experiments; has similarity to proline-tRNA ligase; YHR020W is an essential gene",-0.15,0.17,-0.24,-0.01,-0.11,0.05,64,-0.05,0.147,0.697,0.349,31,-0.05
YJL074C,SMC3,"Subunit of the multiprotein cohesin complex required for sister chromatid cohesion in mitotic cells; also required, with Rec8p, for cohesion and recombination during meiosis; phylogenetically conserved SMC chromosomal ATPase family member",-0.15,-0.01,-0.26,0.07,-0.03,0.09,19,-0.05,0.134,0.658,0.346,11,-0.02
YDR515W,SLF1,RNA binding protein that associates with polysomes; proposed to be involved in regulating mRNA translation; involved in the copper-dependent mineralization of copper sulfide complexes on cell surface in cells cultured in copper salts,-0.30,-0.17,0.10,0.39,-0.40,0.09,11,-0.05,0.295,0.807,0.346,14,-0.12
YHR171W,ATG7,"Autophagy-related protein and dual specificity member of the E1 family of ubiquitin-activating enzymes; mediates the conjugation of Atg12p with Atg5p and Atg8p with phosphatidylethanolamine, required steps in autophagosome formation",0.15,-0.38,0.22,-0.07,-0.06,-0.15,5,-0.05,0.216,0.870,0.383,1,0.34
